n5yOJ\7oOd  00000000000000000000000000001F40  44447777AAAAFFFF8888BBBBEEEEFFFF444433333333CCCC1111
?L%S[:'}[l  00000000000000000000000000001F41  000077779999CCCCCCCC5555EEEE777799998888999900006666
y`j` (2kG$  00000000000000000000000000001F42  7777DDDDCCCC4444AAAA4444BBBB55555555DDDD22229999FFFF
t`_`=[nx(M  00000000000000000000000000001F43  666600001111DDDDBBBB7777EEEE5555AAAAAAAAEEEEDDDDCCCC
ibq*2TFz8r  00000000000000000000000000001F44  444488880000888822224444DDDDEEEE8888AAAA99994444DDDD
s}:K*x.`QR  00000000000000000000000000001F45  AAAACCCC5555BBBBEEEE6666EEEEEEEE1111BBBBFFFFCCCC2222
r:;kOi}8.I  00000000000000000000000000001F46  DDDDEEEE2222CCCC77773333DDDDDDDD55553333BBBB4444BBBB
(0ni"#MC/A  00000000000000000000000000001F47  EEEEEEEE99994444999988886666555577772222DDDD33338888
nImyix<@0=  00000000000000000000000000001F48  22224444CCCC77776666EEEEBBBBBBBB33332222000011119999
[@jp.F;z6n  00000000000000000000000000001F49  CCCC666677771111CCCCEEEE33332222BBBBCCCCCCCCBBBBEEEE
=N`(#8gQ[:  00000000000000000000000000001F4A  6666666644447777EEEE9999BBBB11114444EEEE333333337777
4!Ybo\b,xy  00000000000000000000000000001F4B  9999111177778888666633337777EEEECCCC33337777DDDD4444
O?mqrKv@+H  00000000000000000000000000001F4C  AAAA33332222CCCC33335555999966660000EEEE444422225555
@l2mLzI,-s  00000000000000000000000000001F4D  444444447777000077771111AAAAFFFF55552222BBBBFFFFAAAA
*+.(^+o@Om  00000000000000000000000000001F4E  5555CCCCEEEE444499994444DDDDAAAAFFFF3333666666663333
y EXD&TYNN  00000000000000000000000000001F4F  5555666600009999BBBB4444222288880000EEEEAAAABBBB0000
g(:}wiF$%3  00000000000000000000000000001F50  AAAA666699991111FFFF44442222AAAA44448888111177771111
5876.]j]]p  00000000000000000000000000001F51  8888CCCC6666333377777777FFFFEEEE55559999999977776666
G oJddhmI]  00000000000000000000000000001F52  CCCC222233335555AAAACCCCEEEE88881111EEEE0000CCCCFFFF
1oG=!ZE[C[  00000000000000000000000000001F53  999944446666000066664444DDDD1111CCCCAAAA1111CCCCCCCC
3mB'=s[QT>  00000000000000000000000000001F54  000033330000EEEEBBBB0000EEEEEEEE1111CCCC3333FFFFDDDD
k%dErp>L'@  00000000000000000000000000001F55  8888333366663333EEEE66665555EEEEBBBB1111111133332222
9(7p|!U8eU  00000000000000000000000000001F56  444433331111666699993333CCCCDDDD9999CCCCEEEE7777BBBB
K\ci.=4FW`  00000000000000000000000000001F57  DDDD22223333DDDD1111CCCC222244442222FFFF999922228888
b'TfA5'H6|  00000000000000000000000000001F58  FFFFEEEEAAAA111144443333BBBB77779999BBBB7777CCCC9999
WhM3t/|5/N  00000000000000000000000000001F59  AAAA888888886666333366669999BBBB5555CCCCFFFF2222EEEE
wu[1&q,UV;  00000000000000000000000000001F5A  AAAA9999333300006666FFFFDDDDDDDDFFFF2222BBBB66667777
ypZ`T&='{y  00000000000000000000000000001F5B  11110000FFFFFFFFEEEE999900000000FFFFCCCCCCCCCCCC4444
i~?bL !m){  00000000000000000000000000001F5C  BBBB66663333888811110000BBBB55556666AAAA8888DDDD5555
+3<C%Oq+zB  00000000000000000000000000001F5D  44444444CCCCEEEECCCC44449999777744444444FFFF6666AAAA
|MP4uEAvjM  00000000000000000000000000001F5E  CCCC0000BBBBCCCCFFFFCCCCFFFF444411116666333399993333
y>VoH|a<6v  00000000000000000000000000001F5F  2222BBBB7777AAAABBBB777788889999333333338888AAAA0000
*uaoRROrN4  00000000000000000000000000001F60  77776666BBBB3333111199997777BBBB88882222333322221111
=J;XBEQ{C_  00000000000000000000000000001F61  EEEE66668888BBBBAAAA77773333CCCCFFFF4444DDDDEEEE6666
{':"Dsm_a9  00000000000000000000000000001F62  BBBB5555888811116666777799992222333322222222FFFFFFFF
:qWQwS-?-,  00000000000000000000000000001F63  AAAA9999DDDDEEEEEEEECCCCEEEE6666DDDD99998888BBBBCCCC
